template_no	template_type	sentence	score
19	A2	Pe ce l - am văzut .	0
19	A2	Pe mine l - am văzut .	0
19	A2	Peci l - am văzut .	0
19	A2	Pe atunci l - am văzut .	0
20	A2	Am văzut - o pe - azi , dar pe Ileana , nu .	0
20	A2	Am văzut - o pe Elena azi , dar pe Ileana , nu .	2
20	A2	Am văzut - o pe Radu azi , dar pe Ileana , nu .	0
20	A2	Am văzut - o pe Ion azi , dar pe Ileana , nu .	0
20	A2	Am văzut - o pe Mihai azi , dar pe Ileana , nu .	0
20	A2	Am văzut - o pe Dan azi , dar pe Ileana , nu .	0
20	A2	Am văzut - o pe Maria azi , dar pe Ileana , nu .	2
20	A2	Am văzut - o pe Ana azi , dar pe Ileana , nu .	2
20	A2	Am văzut - o pe Ștefan azi , dar pe Ileana , nu .	0
20	A2	Am văzut - o pe Mircea azi , dar pe Ileana , nu .	0
21	A2	Pe Maria am văzut - o azi , dar pe Ileana , nu .	2
21	A2	Pe Mihai am văzut - o azi , dar pe Ileana , nu .	0
21	A2	Pe Iulia am văzut - o azi , dar pe Ileana , nu .	2
21	A2	Pe ei am văzut - o azi , dar pe Ileana , nu .	0
21	A2	Pe Ion am văzut - o azi , dar pe Ileana , nu .	0
21	A2	Pe - am văzut - o azi , dar pe Ileana , nu .	0
21	A2	Pe Fanny am văzut - o azi , dar pe Ileana , nu .	?
21	A2	Pe Nicolae am văzut - o azi , dar pe Ileana , nu .	0
21	A2	Pe Lucia am văzut - o azi , dar pe Ileana , nu .	2
21	A2	Pe Dan am văzut - o azi , dar pe Ileana , nu .	0
22	A2	Am văzut pe el .	0
22	A2	Am văzut pe mine .	0
22	A2	Am văzut pe viață .	0
22	A2	Am văzut pe o .	0
22	A2	Am văzut pe ei .	0
22	A2	Am văzut pe cel .	0
22	A2	Am văzut pe timp .	0
22	A2	Am văzut pe nume .	0
22	A2	Am văzut pe s .	0
22	A2	Am văzut pe loc .	0
