template_no	template_type	sentence	score
17	A2	Am văzut-o pe maria.	2
17	A2	Am văzut-o pe ea.	2
17	A2	Am văzut-o pe femeie.	2
17	A2	Am văzut-o pe mama.	2
17	A2	Am văzut-o pe ana.	2
17	A2	Am văzut-o pe eva.	2
17	A2	Am văzut-o pe sara.	2
17	A2	Am văzut-o pe uşă.	0
17	A2	Am văzut-o pe cruce.	1
17	A2	Am văzut-o pe mare.	1
18	A2	L-am văzut pe isus.	2
18	A2	L-am văzut pe domnul.	?
18	A2	L-am văzut pe el.	2
18	A2	L-am văzut pe iisus.	2
18	A2	L-am văzut pe mesia.	2
18	A2	L-am văzut pe rege.	2
18	A2	L-am văzut pe acesta.	2
18	A2	L-am văzut pe ioan.	2
18	A2	L-am văzut pe tata.	2
18	A2	L-am văzut pe satana.	2
19	A2	Pe care l-am văzut.	0
19	A2	Pe acesta l-am văzut.	2
19	A2	Pe el l-am văzut.	2
19	A2	Pe acela l-am văzut.	2
19	A2	Pe urmă l-am văzut.	1
19	A2	Pe ăsta l-am văzut.	2
19	A2	Pe isus l-am văzut.	2
19	A2	Pe ăla l-am văzut.	2
19	A2	Pe domnul l-am văzut.	?
19	A2	Pe primul l-am văzut.	2
20	A2	Am văzut-o pe ileana azi, dar pe Ileana, nu.	0
20	A2	Am văzut-o pe maria azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe mama azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe ioana azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe ea azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe ana azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe lia azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe oana azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe elena azi, dar pe Ileana, nu.	2
20	A2	Am văzut-o pe irina azi, dar pe Ileana, nu.	2
21	A2	Pe ileana am văzut-o azi, dar pe Ileana, nu.	0
21	A2	Pe maria am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe ea am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe ioana am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe ana am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe care am văzut-o azi, dar pe Ileana, nu.	0
21	A2	Pe irina am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe elena am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe mama am văzut-o azi, dar pe Ileana, nu.	2
21	A2	Pe iulia am văzut-o azi, dar pe Ileana, nu.	2
22	A2	Am văzut pe nimeni.	0
22	A2	Am văzut pe stradă.	0
22	A2	Am văzut pe cineva.	2
22	A2	Am văzut pe drum.	0
22	A2	Am văzut pe el.	0
22	A2	Am văzut pe net.	1
22	A2	Am văzut pe str.	0
22	A2	Am văzut pe site.	1
22	A2	Am văzut pe undeva.	0
22	A2	Am văzut pe geam.	0
